Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Volkswagen,Passat,2016,158 284,380000,Diesel,Automat / 6 stupňů,140
Citroen,C4,2011,128 929,100000,Benzín,5 stupňů,88
Škoda,Octavia Scout,2015,273 247,200000,Diesel,Automat / 6 stupňů,135
Škoda,Octavia,2018,156 039,350000,Diesel,Automat / 6 stupňů,135
Citroen,C4,2011,128 929,100000,Benzín,5 stupňů,88
Hyundai,i10,2009,75 762,95000,Benzín,Automat / 5 stupňů,49
Suzuki,Grand Vitara,2006,212 461,90000,Diesel,5 stupňů,95
Tesla,Model 3,2020,72 945,700000,Elektro,Automat,366
Suzuki,Grand Vitara,2006,212 461,90000,Diesel,5 stupňů,95
Škoda,Kodiaq,2020,82 285,700000,Diesel,Automat / 7 stupňů,140
Škoda,Superb,2010,293 583,120000,Diesel,Automat / 6 stupňů,125
Ford,Mondeo,2014,178 180,150000,Diesel,Automat / 6 stupňů,120
Citroen,Jumper,Kontrola data registrace,160 278,Nezjištěno,Diesel,6 stupňů,Nezjištěno
Mitsubishi,ASX,2012,156 719,115000,Benzín,5 stupňů,86
Mercedes-Benz,E,2014,120 006,360000,Diesel,Automat / 7 stupňů,125
BMW,4 Gran Coupe,2015,151 630,400000,Diesel,Automat / 8 stupňů,140
Lexus,NX,2017,196 277,500000,Benzín + Full-Hybrid,Automat / 6 stupňů,114
Škoda,Octavia,2019,186 612,330000,Diesel,Automat / 7 stupňů,85
Volvo,V90,2017,132 145,580000,Diesel,Automat / 8 stupňů,173
Volvo,XC90,2016,232 385,480000,Diesel,Automat / 8 stupňů,173
Škoda,Karoq,2020,121 285,620000,Diesel,Automat / 7 stupňů,110
Volkswagen,Passat,2016,158 284,380000,Diesel,Automat / 6 stupňů,140
Volkswagen,Passat CC,2008,278 644,150000,Benzín,Automat / 6 stupňů,220
Škoda,Superb,2010,293 583,120000,Diesel,Automat / 6 stupňů,125
Mazda,CX-5,2012,184 870,180000,Diesel,Automat / 6 stupňů,110
Škoda,Superb,2010,210 264,160000,Diesel,6 stupňů,125
Volkswagen,Golf Plus,2007,189 696,70000,Benzín,6 stupňů,103
Land Rover,Discovery,2014,189 001,410000,Diesel,Automat / 8 stupňů,188
Ford,Mondeo,2014,178 180,150000,Diesel,Automat / 6 stupňů,120
Opel,Zafira,2015,116 359,200000,Diesel,Automat / 6 stupňů,96
