Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Porsche,"Taycan, 4 Cross Turismo PDLS+ Pano",2022,37323,1599000,Elektro,Automatická,390
Volvo,"V60, B4 FWD edice DARK 210Ps",2025,0,1085000,Benzín,Automatická,155
Skoda,"Superb, iV 1.4 TSI PHEV, Style",2020,88668,530000,Hybridní,Automatická,160
Mercedes-benz,"Gle, 450 4M AMG Pano Taž. Nez.Top.",2019,90882,1499000,Benzín,Automatická,270
Audi,"Rs-q3, Sportback Sonos Matrix Tažné",2022,34083,1549000,Benzín,Automatická,294
Mercedes-benz,"Gle, 400d AMG Coupé Pano Taž Burm",2021,119725,1499000,Nafta,Automatická,243
Bmw,"X4, 30d xDrive nez.top HUD NAVI",2024,22344,1679000,Nafta,Automatická,210
Mercedes-benz,"Gle, 350d 4M AMG Coupé Vzduch Tažné",2021,147934,1499000,Nafta,Automatická,200
Bmw,"M2, 338kW HUD H/K Carbon Záruka",2023,13047,1669000,Benzín,Automatická,338
Mercedes-benz,"Gle, 400d 4M AMG 7-Míst Pano Tažné",2021,104736,1499000,Nafta,Automatická,243
Land-rover,"Range-rover-sport, P525 V8 Autobiography Pano HUD",2019,38147,1599000,Benzín,Automatická,386
Audi,"Rs3, B&O Matrix 5L-Záruka PPF",2023,14379,1549000,Benzín,Automatická,294
Alpine,"A110, S 1.8 DCT 215kW Sabelt Focal",2022,23066,1599000,Benzín,Automatická,215
Mercedes-benz,"Gle, 300d 4M AMG 360 Vzduch Tažné",2022,39356,1649000,Nafta,Automatická,200
Bmw,"Rada-7, 740xd Individual Laser H&K",2020,103452,1399000,Nafta,Automatická,235
Porsche,"Macan, T PDK ACC Vzduch Chrono 18Seat",2022,31678,1549000,Benzín,Automatická,195
Bmw,"X6, 40i xDrive H/K Laser Tažné",2021,66462,1549000,Benzín,Automatická,250
Bmw,"X6, M50d xDrive Laser H/K Masáž",2020,99066,1599000,Nafta,Automatická,294
Maserati,"Grecale, GT 360 HUD 4WD CarPlay",2023,16010,1689000,Benzín,Automatická,221
Mercedes-benz,"Tridy-v, 220d XL 120kW LED Sport Kamera",2024,6163,1629000,Nafta,Automatická,120
Bmw,"X5, M50i 390kW H/K Tažné Záruka CZ",2021,109867,1499000,Benzín,Automatická,390
Lexus,"Ls-500h, Superior Haku AWD MarkLev HUD",2021,31952,1499000,Benzín,Automatická,220
Bmw,"M2, 338kW HUD H/K Carbon Záruka",2023,13047,1669000,Benzín,Automatická,338
Bmw,"X6, M50d xDrive Laser H/K Masáž",2020,99066,1599000,Nafta,Automatická,294
Maserati,"Grecale, GT 360 HUD 4WD CarPlay",2023,16010,1689000,Benzín,Automatická,221
Mercedes-benz,"Gle, 350d 4M AMG Coupé Vzduch Tažné",2021,147934,1499000,Nafta,Automatická,200
Mercedes-benz,"Tridy-v, 220d XL 120kW LED Sport Kamera",2024,6163,1629000,Nafta,Automatická,120
Mercedes-benz,"Gle, 400d 4M AMG 7-Míst Pano Tažné",2021,104736,1499000,Nafta,Automatická,243
Porsche,"Macan, T PDK ACC Vzduch Chrono 18Seat",2022,31678,1549000,Benzín,Automatická,195
Mercedes-benz,"Gle, 450 4M AMG Pano Taž. Nez.Top.",2019,90882,1499000,Benzín,Automatická,270
Bmw,"X5, M50i 390kW H/K Tažné Záruka CZ",2021,109867,1499000,Benzín,Automatická,390
Land-rover,"Range-rover-sport, P525 V8 Autobiography Pano HUD",2019,38147,1599000,Benzín,Automatická,386
Mercedes-benz,"Gle, 300d 4M AMG 360 Vzduch Tažné",2022,39356,1649000,Nafta,Automatická,200
Audi,"Rs3, B&O Matrix 5L-Záruka PPF",2023,14379,1549000,Benzín,Automatická,294
Porsche,"Taycan, 4 Cross Turismo PDLS+ Pano",2022,37323,1599000,Elektro,Automatická,390
Mercedes-benz,"Gle, 400d AMG Coupé Pano Taž Burm",2021,119725,1499000,Nafta,Automatická,243
Bmw,"Rada-7, 740xd Individual Laser H&K",2020,103452,1399000,Nafta,Automatická,235
Bmw,"X6, 40i xDrive H/K Laser Tažné",2021,66462,1549000,Benzín,Automatická,250
Lexus,"Ls-500h, Superior Haku AWD MarkLev HUD",2021,31952,1499000,Benzín,Automatická,220
Mercedes-benz,"Tridy-v, 300d/XL/4M/Exclusive/AMG-Line/",2024,349,2689000,Nafta,Automatická,174
Porsche,"Taycan, Plus",2023,34600,1690000,Elektro,Automatická,350
Alpine,"A110, S 1.8 DCT 215kW Sabelt Focal",2022,23066,1599000,Benzín,Automatická,215
Bmw,"X4, 30d xDrive nez.top HUD NAVI",2024,22344,1679000,Nafta,Automatická,210
Audi,"Rs-q3, Sportback Sonos Matrix Tažné",2022,34083,1549000,Benzín,Automatická,294
Porsche,"Taycan, 4 Cross Turismo PDLS+ Pano",2022,37323,1599000,Elektro,Automatická,390
Land-rover,"Range-rover-sport, P525 V8 Autobiography Pano HUD",2019,38147,1599000,Benzín,Automatická,386
Mercedes-benz,"Gle, 450 4M AMG Pano Taž. Nez.Top.",2019,90882,1499000,Benzín,Automatická,270
Maserati,"Grecale, GT 360 HUD 4WD CarPlay",2023,16010,1689000,Benzín,Automatická,221
Mercedes-benz,"Gle, 400d AMG Coupé Pano Taž Burm",2021,119725,1499000,Nafta,Automatická,243
Mercedes-benz,"Gle, 400d 4M AMG 7-Míst Pano Tažné",2021,104736,1499000,Nafta,Automatická,243
Porsche,"Macan, T PDK ACC Vzduch Chrono 18Seat",2022,31678,1549000,Benzín,Automatická,195
Bmw,"Rada-7, 740xd Individual Laser H&K",2020,103452,1399000,Nafta,Automatická,235
Bmw,"X6, M50d xDrive Laser H/K Masáž",2020,99066,1599000,Nafta,Automatická,294
Alpine,"A110, S 1.8 DCT 215kW Sabelt Focal",2022,23066,1599000,Benzín,Automatická,215
Bmw,"X4, 30d xDrive nez.top HUD NAVI",2024,22344,1679000,Nafta,Automatická,210
Lexus,"Ls-500h, Superior Haku AWD MarkLev HUD",2021,31952,1499000,Benzín,Automatická,220
Mercedes-benz,"Glk, 350d/4-M/1.maj./Bi-xenon/PANO/",2011,308214,185000,Nafta,Automatická,170
Bmw,"X5, M50i 390kW H/K Tažné Záruka CZ",2021,109867,1499000,Benzín,Automatická,390
Audi,"Rs3, B&O Matrix 5L-Záruka PPF",2023,14379,1549000,Benzín,Automatická,294
Mercedes-benz,"Gle, 350d 4M AMG Coupé Vzduch Tažné",2021,147934,1499000,Nafta,Automatická,200
Mercedes-benz,"Tridy-v, 220d XL 120kW LED Sport Kamera",2024,6163,1629000,Nafta,Automatická,120
Bmw,"M2, 338kW HUD H/K Carbon Záruka",2023,13047,1669000,Benzín,Automatická,338
Audi,"Rs-q3, Sportback Sonos Matrix Tažné",2022,34083,1549000,Benzín,Automatická,294
Mercedes-benz,"Gle, 300d 4M AMG 360 Vzduch Tažné",2022,39356,1649000,Nafta,Automatická,200
Bmw,"X6, 40i xDrive H/K Laser Tažné",2021,66462,1549000,Benzín,Automatická,250
Volvo,"Xc60, B5 AWD AUT DARK PLUS",2025,0,1449000,Benzín,Automatická,184
Mercedes-benz,"Gle, 450 4M AMG Pano Taž. Nez.Top.",2019,90882,1499000,Benzín,Automatická,270
Audi,"Rs-q3, Sportback Sonos Matrix Tažné",2022,34083,1549000,Benzín,Automatická,294
Lexus,"Ls-500h, Superior Haku AWD MarkLev HUD",2021,31952,1499000,Benzín,Automatická,220
Mercedes-benz,"Gle, 300d 4M AMG 360 Vzduch Tažné",2022,39356,1649000,Nafta,Automatická,200
Porsche,"Macan, T PDK ACC Vzduch Chrono 18Seat",2022,31678,1549000,Benzín,Automatická,195
Land-rover,"Range-rover-sport, P525 V8 Autobiography Pano HUD",2019,38147,1599000,Benzín,Automatická,386
Bmw,"M2, 338kW HUD H/K Carbon Záruka",2023,13047,1669000,Benzín,Automatická,338
Audi,"Rs3, B&O Matrix 5L-Záruka PPF",2023,14379,1549000,Benzín,Automatická,294
Bmw,"X6, 40i xDrive H/K Laser Tažné",2021,66462,1549000,Benzín,Automatická,250
Mercedes-benz,"Gle, 400d 4M AMG 7-Míst Pano Tažné",2021,104736,1499000,Nafta,Automatická,243
