Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Hyundai,Kontrola VIN,2016,"101 196
					km",330000,Diesel,Automat,85
Hyundai,Kontrola VIN,2018,"98 844
					km",400000,Diesel,Automat,136
Škoda,Kontrola VIN,2022,"180 412
					km",430000,Diesel,Automat,110
Volkswagen,Kontrola VIN,2016,"153 903
					km",400000,Diesel,Automat,110
Škoda,Kontrola VIN,2020,"99 261
					km",500000,Benzín,Automat,110
Škoda,Kontrola VIN,2021,"165 931
					km",630000,Benzín,Automat,206
Škoda,Kontrola VIN,2020,"127 401
					km",320000,Benzín,Automat,110
Škoda,Kontrola VIN,2020,"187 601
					km",570000,Benzín,Automat,140
Škoda,Kontrola VIN,2019,"126 317
					km",500000,Diesel,Automat,110
Škoda,Kontrola VIN,2012,"261 268
					km",110000,Diesel,Automat,81
Škoda,Kontrola VIN,2019,"126 317
					km",500000,Diesel,Automat,110
Škoda,Kontrola VIN,2016,"372 492
					km",230000,Diesel,Automat,110
Audi,Kontrola VIN,2019,"66 325
					km",780000,Diesel,Automat,170
Audi,Kontrola VIN,2017,"317 861
					km",300000,Diesel,Automat,160
Škoda,Kontrola VIN,2018,"156 039
					km",340000,Diesel,Automat,135
Škoda,Kontrola VIN,2021,"84 563
					km",480000,Benzín,Automat,110
Škoda,Kontrola VIN,2018,"198 712
					km",370000,Benzín,Automat,132
Volvo,Kontrola VIN,2017,"132 145
					km",580000,Diesel,Automat,173
Škoda,Kontrola VIN,2021,"136 157
					km",580000,Diesel,Automat,110
Škoda,Kontrola VIN,2020,"244 926
					km",460000,Diesel,Automat,110
Hyundai,Kontrola VIN,2017,"183 198
					km",350000,Diesel,Automat,136
Kia,Kontrola VIN,2016,"177 824
					km",230000,Diesel,Automat,85
Hyundai,Kontrola VIN,2020,"72 687
					km",450000,Diesel,Automat,100
Škoda,Kontrola VIN,2021,"136 157
					km",580000,Diesel,Automat,110
Škoda,Kontrola VIN,2015,"283 408
					km",230000,Diesel,Automat,135
Volkswagen,Kontrola VIN,2016,"123 159
					km",420000,Diesel,Automat,176
Hyundai,Kontrola VIN,2016,"169 245
					km",300000,Diesel,Automat,85
Hyundai,Kontrola VIN,2016,"152 000
					km",280000,Diesel,Automat,85
BMW,Kontrola VIN,2016,"200 816
					km",590000,Diesel,Automat,230
Hyundai,Kontrola VIN,2021,"49 928
					km",560000,Benzín,Automat,110
Volkswagen,Kontrola VIN,2016,"153 903
					km",400000,Diesel,Automat,110
Škoda,Kontrola VIN,2018,"182 534
					km",400000,Benzín,Automat,180
Škoda,Kontrola VIN,2018,"175 673
					km",480000,Diesel,Automat,110
Volkswagen,Kontrola VIN,2008,"278 644
					km",150000,Benzín,Automat,220
Škoda,Kontrola VIN,2015,"203 383
					km",260000,Diesel,Automat,135
Škoda,Kontrola VIN,2016,"143 570
					km",390000,Diesel,Automat,140
Škoda,Kontrola VIN,2022,"68 675
					km",620000,Diesel,Automat,110
Alfa Romeo,Kontrola VIN,2022,"10 788
					km",750000,Benzín,Automat,96
Škoda,Kontrola VIN,2020,"155 065
					km",420000,Diesel,Automat,110
Volkswagen,Kontrola VIN,2022,"173 472
					km",530000,Diesel,Automat,147
Škoda,Kontrola VIN,2015,"216 663
					km",240000,Diesel,Automat,135
Volkswagen,Kontrola VIN,2016,"187 124
					km",310000,Diesel,Automat,140
Škoda,Kontrola VIN,2018,"120 701
					km",340000,Diesel,Automat,110
Škoda,Kontrola VIN,2015,"206 240
					km",240000,Diesel,Automat,135
Volkswagen,Kontrola VIN,2016,"187 124
					km",310000,Diesel,Automat,140
Škoda,Kontrola VIN,2017,"86 447
					km",460000,Benzín,Automat,110
Citroen,Kontrola VIN,2019,"102 846
					km",300000,Diesel,Automat,96
Volkswagen,Kontrola VIN,2013,"117 598
					km",310000,Diesel,Automat,81
