Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Volkswagen,"Transporter, 2,5 TDi, 96kW, 4x4,LONG",2006,171000,155000,Nafta,Manuální,96
Hyundai,"I30, 1,0T-GDI",2021,29000,329000,Benzín,Manuální,88
Skoda,"Octavia, 1.6TDi 1.MAJITEL ČR DPH ČIDLA",2020,160000,295007,Nafta,Manuální,85
Bmw,"Rada-2, 218i F46 Grand Tourer 7mist",2016,275000,199900,Benzín,Manuální,100
Skoda,"Octavia, 1.9 TDI, 4X4, Tažné, Klima",2005,394291,25000,Nafta,Manuální,77
Ford,"Mondeo, 2.0 TDCi, po STK",2008,298340,80000,Nafta,Manuální,103
Bmw,"Rada-6, BMW Řada 6 630d xDrive GT",2018,164000,749000,Nafta,Automatická,195
Skoda,"Scala, 1.0 TSi 81 KW DSG Ambition +",2022,30803,399000,Benzín,Automatická,81
Renault,"Clio, 1.0 TCe, Intens, Serv.kniha",2021,24290,310000,Benzín,Manuální,67
Skoda,"Kodiaq, 2.0 TDI, Style, 4X4, Automat",2017,89991,540000,Nafta,Automatická,140
Volvo,"V90, CC D5 AWD PRO AUT POLESTAR",2017,113376,749000,Nafta,Automatická,173
Skoda,"Octavia, 1.4 16V, Klima",2008,129874,100000,Benzín,Manuální,59
Opel,"Corsa, 1,3 CDTi 70kW, Ecotec + tažné",2013,161000,126000,Nafta,Manuální,70
Skoda,"Karoq, 2.0 TDi 110 KW DSG Sportline",2021,58909,669000,Nafta,Automatická,110
Alfa-romeo,"Brera, Alfa Romeo Brera 2.4 JTDM",2008,198000,150000,Nafta,Manuální,154
Skoda,"Fabia, Škoda Fabia II 1.2 HTP rv 2009",2009,223600,36900,Benzín,Manuální,44
Skoda,"Kodiaq, 2.0 TDi 147 KW DSG Style Plus",2022,50647,939000,Nafta,Automatická,147
Peugeot,"Boxer, Peugeot boxer minibus 9 míst",2019,110380,508200,Nafta,Manuální,103
Suzuki,"Vitara, 1.4 BoosterJet, GLX, 4X4",2022,21048,490000,Benzín,Manuální,95
Land-rover,"Defender, 110 D300 X-DYNAMIC HSE AWD AUT",2025,0,2689000,Nafta,Automatická,221
Volkswagen,"Passat, 1.9 TDI, po STK",2005,253029,60000,Nafta,Manuální,77
Mercedes-benz,"Tridy-a, 35 AMG 4matic",2021,48500,1080000,Benzín,Automatická,280
